date,weekday,worker,seq,ward,name,category,category_ko,address,phone,latitude,longitude,map_url,item_set,target_listings
2026-08-17,월,파일럿 (1명),11,Bảy Hiền,Scooter BRO - Motocycles & Life,accessory,튜닝·액세서리,339/22 Đ. Nguyễn Thái Bình,+84 938 280 258,10.7958126,106.6518875,"https://www.google.com/maps/search/?api=1&query=10.7958126,106.6518875",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),12,Bảy Hiền,Shop Đèn Led xe máy ZAHA,accessory,튜닝·액세서리,Hẻm 46/17C Trần Văn Ơn,,10.8008694,106.6300158,"https://www.google.com/maps/search/?api=1&query=10.8008694,106.6300158",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),13,Bảy Hiền,Tiệm Chuyên Phục Hồi Phuộc Nhún Các Loại Xe,accessory,튜닝·액세서리,989 Âu Cơ,+84 979 912 763,10.8012473,106.6367129,"https://www.google.com/maps/search/?api=1&query=10.8012473,106.6367129",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),14,Bảy Hiền,Vespa Hưng Phát,accessory,튜닝·액세서리,32/78 Phan Sào Nam,,10.7904615,106.6441188,"https://www.google.com/maps/search/?api=1&query=10.7904615,106.6441188",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),15,Bảy Hiền,Vương Bá Shop,accessory,튜닝·액세서리,111/43 Đ. Vườn Lài,+84 842 814 286,10.7867871,106.6317294,"https://www.google.com/maps/search/?api=1&query=10.7867871,106.6317294",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),16,Bảy Hiền,XBS PHỤ TÙNG XE,accessory,튜닝·액세서리,204 Đ. Nguyễn Súy,+84 908 040 600,10.7951738,106.6227966,"https://www.google.com/maps/search/?api=1&query=10.7951738,106.6227966",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),17,Bảy Hiền,ĐỒ CHƠI CBR,accessory,튜닝·액세서리,160A/36 Đ. Vườn Lài,+84 937 234 236,10.7896233,106.6291797,"https://www.google.com/maps/search/?api=1&query=10.7896233,106.6291797",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),18,Bảy Hiền,Đồ Chơi GSX,accessory,튜닝·액세서리,36 Đ. Vườn Lài,+84 937 234 236,10.7896663,106.6291748,"https://www.google.com/maps/search/?api=1&query=10.7896663,106.6291748",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-17,월,파일럿 (1명),19,Bảy Hiền,Bọc yên xe máy Hùng | Bọc yên xe Tân Bình,etc,중고 오토바이,26 Phan Sào Nam,+84 762 551 429,10.789597,106.646006,"https://www.google.com/maps/search/?api=1&query=10.789597,106.646006",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-17,월,파일럿 (1명),20,Bảy Hiền,CỬA HÀNG XE GẮN MÁY A TỊNH,etc,중고 오토바이,1009 Đ. Lũy Bán Bích,+84 903 818 306,10.7941831,106.6378884,"https://www.google.com/maps/search/?api=1&query=10.7941831,106.6378884",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-17,월,파일럿 (1명),21,Bảy Hiền,CỬA HÀNG XE MÁY TNT,etc,중고 오토바이,24 Bác Ái,+84 788 383 968,10.790443,106.632637,"https://www.google.com/maps/search/?api=1&query=10.790443,106.632637",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-17,월,파일럿 (1명),22,Bảy Hiền,Cửa Hàng Xe Máy Cường Tự,etc,중고 오토바이,724 Đ. Lũy Bán Bích,+84 983 222 698,10.7909828,106.6375752,"https://www.google.com/maps/search/?api=1&query=10.7909828,106.6375752",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-17,월,파일럿 (1명),23,Bảy Hiền,Cửa Hàng Xe Máy Gia Phúc - Thu Mua Xe Máy Cũ Giá Cao,etc,중고 오토바이,170/11 Đ. Vườn Lài,+84 987 207 681,10.7882859,106.6286546,"https://www.google.com/maps/search/?api=1&query=10.7882859,106.6286546",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-17,월,파일럿 (1명),24,Bảy Hiền,Cửa Hàng Xe Máy Hưng Thịnh,etc,중고 오토바이,712 Đ. Lũy Bán Bích,+84 28 6267 1711,10.7905876,106.6376223,"https://www.google.com/maps/search/?api=1&query=10.7905876,106.6376223",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-17,월,파일럿 (1명),25,Tân Hòa,Tiệm Rửa Xe Dân Trí,wash,세차,43 Dân Trí,,10.7846445,106.6586745,"https://www.google.com/maps/search/?api=1&query=10.7846445,106.6586745",가입만,0
2026-08-17,월,파일럿 (1명),26,Tân Hòa,Mr Thành mobile - Sửa chữa mua bán điện thoại,phone_repair,폰수리,59/24 Đ. Nghĩa Hòa,,10.7853637,106.659831,"https://www.google.com/maps/search/?api=1&query=10.7853637,106.659831",가입만,0
2026-08-17,월,파일럿 (1명),27,Tân Hòa,5Scare - Sửa chữa Laptop - Điện thoại & Thiết bị công nghệ,phone_repair,폰수리,798 Cách Mạng Tháng Tám,,10.7885903,106.6617173,"https://www.google.com/maps/search/?api=1&query=10.7885903,106.6617173",가입만,0
2026-08-17,월,파일럿 (1명),28,Tân Hòa,Cứu Hộ Xe Máy - Sửa Xe Máy Tại Nhà Minh Thành Motor,towing,견인,352 Bắc Hải,,10.7819004,106.6597111,"https://www.google.com/maps/search/?api=1&query=10.7819004,106.6597111",가입만,0
2026-08-17,월,파일럿 (1명),29,Tân Hòa,Rửa xe Mười Nghề,wash,세차,133 Đ. Bắc Hải,,10.7823064,106.6603733,"https://www.google.com/maps/search/?api=1&query=10.7823064,106.6603733",가입만,0
2026-08-17,월,파일럿 (1명),30,Tân Hòa,Cứu Hộ Xe Máy Minh Thành Motor - Sửa Xe Lưu Động,tire,타이어,78 Cửu Long,,10.7828029,106.6617283,"https://www.google.com/maps/search/?api=1&query=10.7828029,106.6617283",가입만,0
2026-08-17,월,파일럿 (1명),31,Tân Hòa,Kau Coffee,cafe,카페,D1C Đ. Thất Sơn,,10.7818625,106.6613457,"https://www.google.com/maps/search/?api=1&query=10.7818625,106.6613457",가입만,0
2026-08-17,월,파일럿 (1명),32,Tân Hòa,Quán Cơm Lan Anh,food,음식,93 Bắc Hải,,10.7846899,106.6627609,"https://www.google.com/maps/search/?api=1&query=10.7846899,106.6627609",가입만,0
2026-08-18,화,작업자 A,1,Bảy Hiền,Cửa Hàng Xe Máy Ly Sport,etc,중고 오토바이,Đ. Lũy Bán Bích,+84 918 008 977,10.7834585,106.6361349,"https://www.google.com/maps/search/?api=1&query=10.7834585,106.6361349",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,2,Bảy Hiền,Cửa Hàng Xe Máy Nguyễn Nhật,etc,중고 오토바이,937 Đ. Lũy Bán Bích,+84 905 245 522,10.7914794,106.6374152,"https://www.google.com/maps/search/?api=1&query=10.7914794,106.6374152",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,3,Bảy Hiền,Cửa Hàng Xe Máy Quang Liêm,etc,중고 오토바이,1007 Âu Cơ,+84 931 835 826,10.8017425,106.6364757,"https://www.google.com/maps/search/?api=1&query=10.8017425,106.6364757",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,4,Bảy Hiền,Cửa Hàng Xe Máy Sơn Tay Ga,etc,중고 오토바이,757 Đ. Lũy Bán Bích,+84 933 731 346,10.7846587,106.6361574,"https://www.google.com/maps/search/?api=1&query=10.7846587,106.6361574",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,5,Bảy Hiền,Cửa Hàng Xe Máy Thái Thiện,etc,중고 오토바이,973 Đ. Lũy Bán Bích,+84 909 159 697,10.79255,106.6375538,"https://www.google.com/maps/search/?api=1&query=10.79255,106.6375538",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,6,Bảy Hiền,Cửa Hàng Yên Xe Tấn Kiệt,etc,중고 오토바이,985 Đ. Lũy Bán Bích,+84 908 150 788,10.7927957,106.6376214,"https://www.google.com/maps/search/?api=1&query=10.7927957,106.6376214",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,7,Bảy Hiền,Cửa hàng Xe máy Toàn Giàu,etc,중고 오토바이,965 Đ. Lũy Bán Bích,+84 938 176 666,10.7921669,106.6375095,"https://www.google.com/maps/search/?api=1&query=10.7921669,106.6375095",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,8,Bảy Hiền,Cửa hàng mua bán xe máy cũ Nam Trang,etc,중고 오토바이,1079 Đ. Lũy Bán Bích,+84 988 885 385,10.7948814,106.6379638,"https://www.google.com/maps/search/?api=1&query=10.7948814,106.6379638",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,9,Bảy Hiền,FATCAR,etc,중고 오토바이,126 Nguyễn Hữu Dật,+84 995 678 668,10.8095318,106.6310684,"https://www.google.com/maps/search/?api=1&query=10.8095318,106.6310684",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,10,Bảy Hiền,HEAD ITC#2 | Đại lý xe máy,etc,중고 오토바이,683 Âu Cơ,+84 28 3842 5523,10.7887897,106.6403904,"https://www.google.com/maps/search/?api=1&query=10.7887897,106.6403904",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,11,Bảy Hiền,Head ITC1,etc,중고 오토바이,439 Trường Chinh,+84 28 3810 5637,10.8000079,106.6397379,"https://www.google.com/maps/search/?api=1&query=10.8000079,106.6397379",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,12,Bảy Hiền,Nhung Xe Điện - Mua Bán Xe Điện TP.HCM,etc,중고 오토바이,111/10 Đ. Vườn Lài,+84 938 900 030,10.787037,106.6316517,"https://www.google.com/maps/search/?api=1&query=10.787037,106.6316517",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,13,Bảy Hiền,PHÒNG KINH DOANH ONLINE XE MÁY VISACOOP,etc,중고 오토바이,478 Cộng Hòa,+84 357 531 554,10.8026134,106.6414515,"https://www.google.com/maps/search/?api=1&query=10.8026134,106.6414515",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,14,Bảy Hiền,"Phương Đông - Thu Mua Xe Điện, Xe Máy & Đồ Cũ",etc,중고 오토바이,24 Ngô Bệ,+84 886 025 555,10.803354,106.6416814,"https://www.google.com/maps/search/?api=1&query=10.803354,106.6416814",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,15,Bảy Hiền,Phố Xe Điện quận Tân Bình,etc,중고 오토바이,322A Trường Chinh,+84 1800 9008,10.7986828,106.6428483,"https://www.google.com/maps/search/?api=1&query=10.7986828,106.6428483",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,16,Bảy Hiền,Shop 186,etc,중고 오토바이,"Trường Chinh Phường Tân Sơn Nhì ❤️581/22 Trường Chinh Q.Tân Phú ( gần chợ, Võ Thành Trang - Bà Quẹo",+84 935 560 560,10.8019865,106.6355927,"https://www.google.com/maps/search/?api=1&query=10.8019865,106.6355927",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,17,Bảy Hiền,Shop xe máy Phú Lực,etc,중고 오토바이,6 Đường số 27,,10.8048894,106.6293265,"https://www.google.com/maps/search/?api=1&query=10.8048894,106.6293265",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,18,Bảy Hiền,Thu mua xe máy,etc,중고 오토바이,248/14/2 Hẻm 248/14 Nguyễn Thái Bình,,10.7968363,106.6507703,"https://www.google.com/maps/search/?api=1&query=10.7968363,106.6507703",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,19,Bảy Hiền,Xe Máy Công Quyền,etc,중고 오토바이,815 Đ. Lũy Bán Bích,+84 936 989 879,10.787529,106.6367816,"https://www.google.com/maps/search/?api=1&query=10.787529,106.6367816",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,20,Bảy Hiền,Xe Điện Linh Trung - Thu Mua Xe Điện Cũ TP.HCM,etc,중고 오토바이,710/70 Đ. Lũy Bán Bích,+84 941 236 197,10.7890358,106.6380164,"https://www.google.com/maps/search/?api=1&query=10.7890358,106.6380164",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,21,Bảy Hiền,Yamaha Town Minh Quang 5,etc,중고 오토바이,175-177 Cộng Hòa,+84 28 7301 2988,10.8017266,106.6473298,"https://www.google.com/maps/search/?api=1&query=10.8017266,106.6473298",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,22,Bảy Hiền,Điện Máy Nam Hoàng - Chuyên Loa Kéo Nanomax,etc,중고 오토바이,Thoại Ngọc Hầu,+84 901 800 800,10.7847015,106.6381451,"https://www.google.com/maps/search/?api=1&query=10.7847015,106.6381451",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 A,23,Bảy Hiền,"Chuỗi vệ sinh xe, mũ bảo hiểm GoWash",gear,헬멧·보호구,1/1 Trường Chinh,+84 909 490 098,10.8061303,106.6343408,"https://www.google.com/maps/search/?api=1&query=10.8061303,106.6343408",헬멧 2종 (풀페이스 / 하프),2
2026-08-18,화,작업자 A,24,Bảy Hiền,Cửa Hàng Mũ Bảo Hiểm Kim Anh 16Tan son nhi,gear,헬멧·보호구,,+84 937 031 799,10.8029486,106.6352546,"https://www.google.com/maps/search/?api=1&query=10.8029486,106.6352546",헬멧 2종 (풀페이스 / 하프),2
2026-08-18,화,작업자 A,25,Hòa Hưng,Rửa Xe Thay Nhớt Sơn Nguyễn 68,wash,세차,60 Bắc Hải,,10.7862498,106.6638804,"https://www.google.com/maps/search/?api=1&query=10.7862498,106.6638804",가입만,0
2026-08-18,화,작업자 A,26,Hòa Hưng,NGON 2,food,음식,QMM7+575,,10.7828449,106.6632748,"https://www.google.com/maps/search/?api=1&query=10.7828449,106.6632748",가입만,0
2026-08-18,화,작업자 A,27,Tân Hòa,Cà Phê Xưa,cafe,카페,45 Cửu Long,,10.7809278,106.6625057,"https://www.google.com/maps/search/?api=1&query=10.7809278,106.6625057",가입만,0
2026-08-18,화,작업자 A,28,Hòa Hưng,Cứu hộ xe máy Quận 10,towing,견인,30 Trường Sơn,,10.7830773,106.6638213,"https://www.google.com/maps/search/?api=1&query=10.7830773,106.6638213",가입만,0
2026-08-18,화,작업자 A,29,Hòa Hưng,"Quán Cafe rang xay nguyên chất, hạt sạch - TA Coffee",cafe,카페,P3 Bạch Mã,,10.7811519,106.6631604,"https://www.google.com/maps/search/?api=1&query=10.7811519,106.6631604",가입만,0
2026-08-18,화,작업자 A,30,Tân Hòa,Cứu Hộ Xe Máy Minh Thành Motor - Sửa Xe Lưu Động,tire,타이어,136 Đ. Tam Đảo,,10.7761929,106.6600457,"https://www.google.com/maps/search/?api=1&query=10.7761929,106.6600457",가입만,0
2026-08-18,화,작업자 A,31,Hòa Hưng,Circle K Việt Nam,convenience,편의점,70 Đ. Đồng Nai,,10.7792052,106.6625453,"https://www.google.com/maps/search/?api=1&query=10.7792052,106.6625453",가입만,0
2026-08-18,화,작업자 A,32,Nhiêu Lộc,Giặt Sấy Bà Già,laundry,세탁,590/E5 Cách Mạng Tháng Tám,,10.7872822,106.6668992,"https://www.google.com/maps/search/?api=1&query=10.7872822,106.6668992",가입만,0
2026-08-18,화,작업자 B,1,Bình Thạnh,MINH LONG MOTOR Quận Bình Thạnh,etc,중고 오토바이,72 74 Đinh Bộ Lĩnh,+84 898 888 816,10.8074611,106.7095131,"https://www.google.com/maps/search/?api=1&query=10.8074611,106.7095131",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 B,2,Bình Thạnh,Mua Xe Máy Cũ Tận Nhà,etc,중고 오토바이,2 Chu Văn An,+84 814 230 875,10.8108545,106.7114281,"https://www.google.com/maps/search/?api=1&query=10.8108545,106.7114281",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 B,3,Bình Thạnh,Phê Motor,etc,중고 오토바이,232 QL13,+84 977 933 837,10.8164217,106.713179,"https://www.google.com/maps/search/?api=1&query=10.8164217,106.713179",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 B,4,Bình Thạnh,Thu Mua xe cũ Lê Nhân 88 Bạch Đằng,etc,중고 오토바이,88 Bạch Đằng,+84 906 899 252,10.8031988,106.7082683,"https://www.google.com/maps/search/?api=1&query=10.8031988,106.7082683",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 B,5,Bình Thạnh,VIETMOTO Cho Thuê Xe Máy / Motorbike rental / Аренда байков,etc,중고 오토바이,04 Đinh Bộ Lĩnh,+84 385 858 671,10.8033815,106.7094991,"https://www.google.com/maps/search/?api=1&query=10.8033815,106.7094991",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 B,6,Bình Thạnh,Yamaha Town Hồng Hải Anh,etc,중고 오토바이,101 Nơ Trang Long,+84 28 3551 1136,10.8103861,106.6950235,"https://www.google.com/maps/search/?api=1&query=10.8103861,106.6950235",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 B,7,Bình Thạnh,Cửa hàng nón bảo hiểm Quốc Việt.,gear,헬멧·보호구,227 Đinh Bộ Lĩnh,,10.8110394,106.708943,"https://www.google.com/maps/search/?api=1&query=10.8110394,106.708943",헬멧 2종 (풀페이스 / 하프),2
2026-08-18,화,작업자 B,8,Bình Thạnh,Shop Nón Bảo Hiểm Phú Khang,gear,헬멧·보호구,178 Nơ Trang Long,,10.812268,106.6963965,"https://www.google.com/maps/search/?api=1&query=10.812268,106.6963965",헬멧 2종 (풀페이스 / 하프),2
2026-08-18,화,작업자 B,9,Bình Thạnh,CF,parts,용품,166 Đ. Phan Văn Trị,,10.8110033,106.6956501,"https://www.google.com/maps/search/?api=1&query=10.8110033,106.6956501",미러 · 머플러 · 브레이크패드 · 체인 중 2점,2
2026-08-18,화,작업자 B,10,Bình Thạnh,Cửa Hàng Phụ Tùng Honda Hồng Biển,parts,용품,685 Xô Viết Nghệ Tĩnh,+84 28 3898 1964,10.8122342,106.7149326,"https://www.google.com/maps/search/?api=1&query=10.8122342,106.7149326",미러 · 머플러 · 브레이크패드 · 체인 중 2점,2
2026-08-18,화,작업자 B,11,Bình Thạnh,HEAD Tường Nguyên,parts,용품,3 Đinh Bộ Lĩnh,+84 28 3511 5067,10.8034193,106.7092457,"https://www.google.com/maps/search/?api=1&query=10.8034193,106.7092457",미러 · 머플러 · 브레이크패드 · 체인 중 2점,2
2026-08-18,화,작업자 B,12,Bình Thạnh,Phụ Tùng Xe Máy Minh Độ,parts,용품,89 Đinh Bộ Lĩnh,,10.8087123,106.7091394,"https://www.google.com/maps/search/?api=1&query=10.8087123,106.7091394",미러 · 머플러 · 브레이크패드 · 체인 중 2점,2
2026-08-18,화,작업자 B,13,Bình Thạnh,Phụ tùng xe,parts,용품,"Cầu Đinh Bộ Lĩnh, 85 Đinh Bộ Lĩnh",,10.8074812,106.7092226,"https://www.google.com/maps/search/?api=1&query=10.8074812,106.7092226",미러 · 머플러 · 브레이크패드 · 체인 중 2점,2
2026-08-18,화,작업자 B,14,Bình Thạnh,Sửa Xe Honda Ngọc Châu,parts,중고 용품,140 Bình Quới,+84 933 367 393,10.8182789,106.7230089,"https://www.google.com/maps/search/?api=1&query=10.8182789,106.7230089",중고 부품 2점,2
2026-08-18,화,작업자 B,15,Bình Lợi Trung,Cà Phê Chợ Đồ Cổ,accessory,튜닝·액세서리,311/27 Nơ Trang Long,+84 932 731 127,10.8199996,106.6988383,"https://www.google.com/maps/search/?api=1&query=10.8199996,106.6988383",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-18,화,작업자 B,16,Bình Lợi Trung,Cứu Hộ Xe Máy - Sửa Xe Lưu Động Minh Thành Motor,accessory,튜닝·액세서리,85 Đ.Trần Quốc Tuấn,+84 399 859 679,10.820882,106.6921897,"https://www.google.com/maps/search/?api=1&query=10.820882,106.6921897",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-18,화,작업자 B,17,Bình Lợi Trung,Siêu thị Emart - Phan Văn Trị,accessory,튜닝·액세서리,366 Đ. Phan Văn Trị,+84 28 3895 5555,10.8234281,106.6936048,"https://www.google.com/maps/search/?api=1&query=10.8234281,106.6936048",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-18,화,작업자 B,18,Bình Lợi Trung,Tiệm Sửa Xe Lưu Động 24h - Cứu Hộ Xe,accessory,튜닝·액세서리,346/5 Đ. Phan Văn Trị,+84 358 863 338,10.8205123,106.696272,"https://www.google.com/maps/search/?api=1&query=10.8205123,106.696272",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-18,화,작업자 B,19,Bình Lợi Trung,ĐẠT DÌ (thằng đệ) sữa chữa xe máy quận bình thạnnh,accessory,튜닝·액세서리,338 Nơ Trang Long,+84 989 318 439,10.8186501,106.6992603,"https://www.google.com/maps/search/?api=1&query=10.8186501,106.6992603",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-18,화,작업자 B,20,Bình Lợi Trung,Đồ Chơi Sao Việt - Cung cấp thiết bị mầm non,accessory,튜닝·액세서리,80 Đường 2,+84 903 196 220,10.8382188,106.7181417,"https://www.google.com/maps/search/?api=1&query=10.8382188,106.7181417",핸들바 · LED · 데칼 · 시트커버 중 2점,2
2026-08-18,화,작업자 B,21,Bình Lợi Trung,HEAD Lai Hương 4,etc,중고 오토바이,198 QL13,+84 911 052 847,10.8311685,106.7143239,"https://www.google.com/maps/search/?api=1&query=10.8311685,106.7143239",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 B,22,Bình Lợi Trung,Lân Nguyễn Motor,etc,중고 오토바이,46A Bình Lợi,+84 943 191 709,10.8273923,106.7063606,"https://www.google.com/maps/search/?api=1&query=10.8273923,106.7063606",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 B,23,Bình Lợi Trung,Phát Yên Xe NVX (Nệm Tiến Phát),etc,중고 오토바이,371 Đ. Phan Văn Trị,+84 948 869 488,10.8186831,106.6946796,"https://www.google.com/maps/search/?api=1&query=10.8186831,106.6946796",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 B,24,Bình Lợi Trung,VINFAST THỦ ĐỨC - SAIGON XANH,etc,중고 오토바이,"TP, 255 QL13",+84 818 333 877,10.8357642,106.7137455,"https://www.google.com/maps/search/?api=1&query=10.8357642,106.7137455",중고 오토바이 2대 (연식·주행거리 확인),2
2026-08-18,화,작업자 B,25,Bình Thạnh,"Sửa xe, Vá Xe, Rửa xe Mạnh",wash,세차,101 Đinh Bộ Lĩnh,,10.8078091,106.7093682,"https://www.google.com/maps/search/?api=1&query=10.8078091,106.7093682",가입만,0
2026-08-18,화,작업자 B,26,Bình Thạnh,Rửa xe 96,wash,세차,42/68 Đ. Ung Văn Khiêm,,10.8081571,106.7126409,"https://www.google.com/maps/search/?api=1&query=10.8081571,106.7126409",가입만,0
2026-08-18,화,작업자 B,27,Bình Thạnh,Bãi giữ xe sinh viên Hutech,parking,주차장,53 Đ. Ung Văn Khiêm,,10.8099718,106.7149905,"https://www.google.com/maps/search/?api=1&query=10.8099718,106.7149905",가입만,0
2026-08-18,화,작업자 B,28,Bình Thạnh,Bãi Gửi Xe 24/24,parking,주차장,36A Đinh Bộ Lĩnh,,10.8059245,106.7096834,"https://www.google.com/maps/search/?api=1&query=10.8059245,106.7096834",가입만,0
2026-08-18,화,작업자 B,29,Bình Thạnh,VND HOME COFFEE,cafe,카페,451 Xô Viết Nghệ Tĩnh,,10.8066557,106.7114303,"https://www.google.com/maps/search/?api=1&query=10.8066557,106.7114303",가입만,0
2026-08-18,화,작업자 B,30,Bình Thạnh,Tiệm Tự Giặt Sấy Đô Thị - Phan Văn Trị | Đô Thị Self-Service Laundry,laundry,세탁,130 Đ. Phan Văn Trị,,10.8097374,106.6963667,"https://www.google.com/maps/search/?api=1&query=10.8097374,106.6963667",가입만,0
