name,category,subtype,listing_capable,address,latitude,longitude,phone,rating,reviews,status,flags,excluded_reason
Công ty TNHH Phụ Tùng Ô Tô Xe Máy Tây Nam,parts,,Y,188/11 Cao Đạt,10.754981,106.6826556,+84 944 708 788,4.3,23,,,자동차 업체
Cửa Hàng Phụ Tùng MôTô Thể Thao Hodaka,parts,,Y,95 Nguyễn Văn Cừ,10.7561642,106.6851944,+84 28 3507 3381,3.5,2,,,자동차 업체
Công Ty TNHH Quốc Minh Auto Parts & Accessories,parts,,Y,Khu Phố Mỹ Hoàng/011 Đường Nguyễn Văn Linh,10.728177,106.7098014,+84 909 074 068,4.4,16,,,자동차 업체
4autolight.vn - chuyên độ & phụ tùng xe Hàn Quốc,parts,,Y,749/3A Huỳnh Tấn Phát,10.733587,106.732411,+84 907 789 089,5.0,3,,,자동차 업체
TB car care and motor care / Chăm sóc xe 2 bánh và 4 bánh,parts,,Y,5 Nguyễn Thần Hiến,10.7561565,106.7175245,+84 902 990 911,,,,,자동차 업체
PHỤ TÙNG Ô TÔ PHI 89 CƠ SỞ 3,parts,,Y,42 Đường Bến Nghé,10.7596966,106.7371691,+84 977 999 789,,,,,자동차 업체
Phụ tùng ôtô Sáu Chiêu,parts,,Y,307 Điện Biên Phủ,10.8012942,106.7088435,+84 28 3899 2877,4.3,26,,,자동차 업체
BCar Auto Center - Phụ kiện đồ chơi cho xe ô tô,parts,,Y,3/8 Lương Định Của,10.7923958,106.7508949,+84 1800 9254,4.6,194,,,자동차 업체
CÔNG TY PHỤ TÙNG AN NHIÊN,parts,,Y,300/78 Xô Viết Nghệ Tĩnh,10.8002333,106.7132445,+84 898 981 819,4.7,14,,,제조/도매/법인
PHỤ TÙNG Ô TÔ QUYỀN,parts,,Y,2N Đinh Bộ Lĩnh,10.8022527,106.7110166,+84 909 472 962,3.2,9,,,자동차 업체
Phụ tùng ô tô Hàn Quốc - HYUNDAI & DAEWOO,parts,,Y,47 Cao Đức Lân,10.7951073,106.7435462,,4.0,4,,,자동차 업체
Phụ Tùng ô tô Lê Trung,parts,,Y,312 Điện Biên Phủ,10.798429,106.719088,+84 909 954 419,,,,,자동차 업체
Phụ tùng ô tô,parts,,Y,12 Nguyễn Gia Trí,10.8056144,106.7130567,+84 903 135 459,5.0,3,,,자동차 업체
Cửa Hàng Phụ Tùng Ô Tô Kỳ,parts,,Y,160 Đ. Huỳnh Mẫn Đạt,10.7574686,106.6760604,+84 903 013 790,4.2,9,,,자동차 업체
Cửa Hàng Phụ Tùng Ô Tô Thành Được,parts,,Y,290E An Dương Vương,10.7600816,106.6811621,+84 28 3835 2891,4.5,2,,,자동차 업체
Phụ tùng ô tô MAST Sài Gòn,parts,,Y,151D Nguyễn Duy Dương,10.7612141,106.6707855,+84 28 3832 5325,4.9,18,,,자동차 업체
Công Ty Tnhh Một Thành Viên Phụ Tùng Ô Tô Quang Vũ,parts,,Y,467 An Dương Vương,10.7580942,106.6760629,+84 973 333 217,4.9,32,,,자동차 업체
Cửa hàng phụ tùng ô tô A Chấu,parts,,Y,469 An Dương Vương,10.7580489,106.6759337,+84 903 944 674,4.2,27,,,자동차 업체
Cửa Hàng Phụ Tùng Ô Tô Honda,parts,,Y,177 Đ. Huỳnh Mẫn Đạt,10.7571382,106.6759134,+84 977 775 858,4.5,2,,,자동차 업체
Công Ty TNHH Xuất Nhập Khẩu Phụ Tùng Ô Tô Cường Mai,parts,,Y,423 An Dương Vương,10.7580223,106.6766604,+84 903 845 378,4.5,13,,,자동차 업체
Phụ Tùng Ô Tô Thanh Tuyền,parts,,Y,257/5/15 3 Tháng 2,10.7700232,106.672918,+84 792 448 535,4.8,4,,,자동차 업체
Phụ Tùng ô tô 414,parts,,Y,414 An Dương Vương,10.7589626,106.6773651,+84 986 769 222,4.7,19,,,자동차 업체
PHỤ TÙNG ÔTÔ NGHĨA,parts,,Y,56 Nguyễn Thái Học,10.7654578,106.6971208,+84 903 875 128,4.5,2,,,자동차 업체
Phụ Tùng Ô Tô HND,parts,,Y,"232/61, 61 Đoàn Văn Bơ",10.7614261,106.7049493,+84 938 857 078,4.0,1,,,자동차 업체
Cửa hàng Phụ tùng Ô TÔ Ngọc Phước,parts,,Y,31B Cô Bắc,10.765288,106.695531,+84 28 3836 5754,5.0,1,,,자동차 업체
Cửa Hàng Phụ Tùng Ô Tô Minh Xuyến,parts,,Y,"Chung cư 100 Hùng Vương, 100 Hùng Vương",10.7581111,106.6699905,+84 28 3830 9822,5.0,2,,,자동차 업체
Cửa Hàng Phụ Tùng Ô Tô Sang 180,parts,,Y,180 Đ. Huỳnh Mẫn Đạt,10.7577591,106.6759989,+84 918 397 493,4.7,3,,,자동차 업체
Phụ kiện ô tô CƯỜNG NGA,parts,,Y,418-420 An Dương Vương,10.7589212,106.6772448,+84 903 330 937,4.8,183,,,자동차 업체
Phụ tùng đèn ô tô Tiến Bình,parts,,Y,325 Trần Bình Trọng,10.7623324,106.6789696,+84 913 716 977,5.0,2,,,자동차 업체
CÔNG TY PHỤ TÙNG Ô TÔ HOÀNG GIA - GMSAIGON,parts,,Y,11 Hùng Vương,10.7642466,106.6798155,+84 937 007 866,3.4,15,,,자동차 업체
Phụ tùng ô tô Thành Luân,parts,,Y,835/16 Trần Hưng Đạo,10.7546859,106.6805116,+84 941 550 234,5.0,5,,,자동차 업체
Cửa Hàng Phụ Tùng Ôtô Nam Thái,parts,,Y,230 Nguyễn Công Trứ,10.7678874,106.7003275,+84 28 3822 5879,5.0,5,,,자동차 업체
Phụ Tùng ô tô Ngọc Hà,parts,,Y,184 Hoàng Diệu,10.7628875,106.7028902,+84 902 500 092,5.0,3,,,자동차 업체
Cửa hàng Tường | Mua bán phụ tùng xe hơi,parts,,Y,244 Nguyễn Công Trứ,10.7677806,106.7000645,,5.0,1,,,자동차 업체
Phụ Tùng Ô Tô Huy,parts,,Y,269 Trần Bình Trọng,10.7610025,106.6795164,+84 903 855 996,5.0,4,,,자동차 업체
Cửa Hàng Phụ Tùng Ô Tô Ba Gấm,parts,,Y,224 Nguyễn Công Trứ,10.7679683,106.7004175,+84 28 3821 2042,4.2,5,,,자동차 업체
Cửa Hàng Phụ Tùng Ô Tô Tất Cường,parts,,Y,42 Đ. Calmette,10.7671079,106.7000873,+84 913 944 987,5.0,5,,,자동차 업체
Cửa hàng phụ tùng ô tô A Bá,parts,,Y,38 Phó Đức Chính,10.768871,106.700424,+84 962 692 698,3.0,2,,,자동차 업체
Phụ tùng ô tô Hồ Chí Minh,parts,,Y,35 Đường Võ Văn Tần,10.777957,106.6917277,+84 365 288 161,,,,,자동차 업체
Cửa hàng Phụ Tùng Ô Tô UP PARTS,parts,,Y,86 Đ. Nguyễn Công Hoan,10.7995117,106.6899667,+84 767 711 398,,,,,자동차 업체
Phụ Tùng Ô Tô Phạm Vũ,parts,,Y,27/38 Cộng Hòa,10.7998115,106.6566205,+84 961 145 635,4.6,5,,,자동차 업체
Chợ phụ tùng xe máy xe đạp ôtô Tân Thành,parts,,Y,263 Tân Thành,10.7551518,106.6513701,,5.0,2,,,자동차 업체
Phụ Kiện Xe Giá Sỉ,parts,,Y,63 Đ.Tùng Thiện Vương,10.7485742,106.6661609,+84 906 745 466,4.7,3,,,제조/도매/법인
Phụ tùng xe Nano Auto,parts,,Y,1201 3 Tháng 2,10.7597373,106.6529466,+84 832 177 952,5.0,2,,,자동차 업체
Cửa Hàng Phụ Tùng Ô Tô Tấn Phát,parts,,Y,42 Đ. Kinh Dương Vương,10.7514862,106.6307204,+84 913 639 212,5.0,1,,,자동차 업체
CÔNG TY PHỤ TÙNG Ô TÔ SÀI GÒN,parts,,Y,QM88+9VQ,10.7659222,106.6671912,+84 936 050 517,5.0,2,,,자동차 업체
Cửa Hàng Phụ Tùng Ô Tô Quang Huy,parts,,Y,72 QL13,10.8118961,106.7126767,+84 963 384 875,5.0,7,,,자동차 업체
Công ty TNHH Phụ Tùng Ô Tô Thiên Kim,parts,,Y,110/5 Đ. An Nhơn,10.8363234,106.6792254,+84 906 865 763,5.0,6,,,자동차 업체
Cửa Hàng Phụ Tùng Ô Tô Tín Nghĩa,parts,,Y,169 QL13,10.8152548,106.7127599,+84 913 490 116,5.0,5,,,자동차 업체
PHỤ TÙNG XE NÂNG AN PHÁT - Công ty TNHH TM DV Thiết Bị Kỹ Thuật An Phát,parts,,Y,5/14 Đ. Hạnh Thông,10.8251434,106.6801439,+84 918 540 602,5.0,1,,,제조/도매/법인
Phụ Tùng Ô Tô Ngầu Em,parts,,Y,260 Đinh Bộ Lĩnh,10.8169508,106.7118997,+84 903 626 794,5.0,2,,,자동차 업체
Cửa Hàng Phụ Tùng Ô Tô Giáp,parts,,Y,306 Đinh Bộ Lĩnh,10.816914,106.7117714,+84 913 670 888,2.0,1,,,자동차 업체
Tiệm Phụ Tùng Xe Máy Long Phát,parts,,Y,78 Đ. Bùi Hữu Nghĩa,10.7952349,106.698115,,,,PERM_CLOSED,,영구폐업
Cửa hàng phụ tùng ô tô Xuân Cương,parts,,Y,92 QL13,10.8125631,106.7127338,+84 988 715 258,,,,,자동차 업체
Cửa Hàng Phụ Tùng Ô Tô Hoàng Huy 319,parts,,Y,319 Quang Trung,10.8292832,106.6717494,+84 907 731 515,4.2,5,,,자동차 업체
Phụ Tùng ô Tô Thạnh Luân,parts,,Y,11A Hồng Hà,10.813366,106.6688269,+84 707 823 973,5.0,18,,,자동차 업체
Phụ Tùng Xe Giá Sỉ TP.HCM,parts,,Y,47/14 Nguyễn Quý Anh,10.8009175,106.6283591,+84 939 123 579,5.0,4,,,제조/도매/법인
Phụ Tùng Xe Máy Sài Gòn (Minh Trí),parts,,Y,157-159 Đồng Đen,10.7900099,106.6433023,+84 908 128 285,5.0,6,PERM_CLOSED,,영구폐업
Phú Gia Auto,parts,used_parts,Y,Đ. P/102B Khu P.Mỹ Hưng,10.7276369,106.7140898,+84 906 333 787,4.5,49,,,자동차 업체
Hùng Inox - Nội Thất Ô Tô Sài Gòn,parts,used_parts,Y,"C11/27, Hùng inox, 27 Chánh Hưng",10.722646,106.6813817,+84 902 633 728,4.4,29,,,자동차 업체
Công ty TNHH Ắc Quy Cao Cấp - Acquycaocap.vn,parts,used_parts,Y,51 Nguyễn Thị Thập,10.7375394,106.7280563,+84 933 138 398,5.0,555,,,제조/도매/법인
Đèn kính hậu ô tô Minh Quang,parts,used_parts,Y,200 Trần Bình Trọng,10.7604046,106.6801116,+84 913 841 277,5.0,2,,,자동차 업체
Cửa Hàng Phụ tùng ô tô Bằng,parts,used_parts,Y,306 An Dương Vương,10.7600289,106.6799062,+84 986 603 101,5.0,3,,,자동차 업체
"GARAGE KHA HOANG AUTO SERVICE - Bảo dưỡng, nâng cấp & chăm sóc Ô TÔ",parts,used_parts,Y,8 Nguyễn Thanh Sơn,10.7728099,106.753318,+84 879 797 987,5.0,88,,,자동차 업체
Nam Tiến auto workshop,parts,used_parts,Y,92 Nguyễn Thị Thập,10.7381066,106.7230634,+84 989 918 839,4.7,88,,,자동차 업체
AUTO'S ONLY,parts,used_parts,Y,276 Đường Nguyễn Văn Linh,10.7437269,106.7213216,+84 28 3771 7000,4.6,103,,,자동차 업체
Showroom Ô Tô VinFast PTT Tân Thuận,parts,used_parts,Y,"Khu Chế Xuất, Đường số 24",10.7717167,106.7440304,+84 965 555 444,4.4,302,,,자동차 업체
Michelin Car Service Hải Triều,parts,used_parts,Y,Song Hành/86E P.An Phú,10.8012146,106.7445793,+84 933 310 688,4.9,1649,,,자동차 업체
Công ty TNHH Ô Tô Và Xe Máy Sapa,parts,used_parts,Y,3 Quốc Hương,10.8009021,106.7311911,+84 28 3636 2653,4.8,85,,,자동차 업체
Công Ty TNHH Dragon Auto Speed,parts,used_parts,Y,207 Đ. Nguyễn Xí,10.8164997,106.7059754,+84 906 329 986,5.0,4,,,자동차 업체
AGM Workshop - Gara Ô Tô TPHCM,parts,used_parts,Y,32 Đường Số 37,10.7906926,106.7363296,+84 971 100 478,4.7,22,,,자동차 업체
Mạnh Quân Auto - Phụ Kiện Đồ Chơi Ô Tô,parts,used_parts,Y,164 Hùng Vương,10.7613253,106.6747972,+84 934 095 209,4.9,211,,,자동차 업체
VÁ VỎ LƯU ĐỘNG KÍCH BÌNH Ô TÔ CHIẾN THẮNG,parts,used_parts,Y,429 Lý Thái Tổ,10.7678078,106.6688093,+84 345 050 365,4.9,80,,,자동차 업체
Phụ tùng Ô tô Nhật Anh,parts,used_parts,Y,468 An Dương Vương,10.7586339,106.6764436,+84 979 978 934,5.0,4,,,자동차 업체
Mười Hùng Auto,parts,used_parts,Y,235B Nguyễn Văn Cừ,10.7618007,106.6833491,+84 965 966 999,4.9,1281,,,자동차 업체
Phụ tùng Ô tô Sedan Việt Hồ Chí Minh,parts,used_parts,Y,155 Nhật Tảo,10.7644747,106.6672728,+84 903 686 646,2.5,20,,,자동차 업체
Hao Quang Film Auto,parts,used_parts,Y,13d Trần Phú,10.7633311,106.6798409,+84 903 421 142,5.0,29,,,자동차 업체
CÔNG TY TNHH PHỤ TÙNG Ô TÔ VINH HIỂN,parts,used_parts,Y,226 Nguyễn Công Trứ,10.767948,106.7003431,+84 932 017 857,,,,,자동차 업체
Kính Ô tô Phú Nhuận,parts,used_parts,Y,19/23a 72/19/23a Phan Đăng Lưu,10.8050396,106.6854112,+84 923 630 177,5.0,1,,,자동차 업체
Phụ tùng xe máy cũ,parts,used_parts,Y,77 Hiệp Thành 5,10.8809573,106.6346214,+84 979 548 454,,,PERM_CLOSED,,영구폐업
Phụ Tùng Ô Tô Tp.hcm,parts,used_parts,Y,785 Đ. Hồng Bàng,10.7539577,106.6438562,+84 903 652 112,5.0,6,,,자동차 업체
Công ty Vũ Phương,parts,used_parts,Y,12 số 7,10.8138316,106.6810235,+84 28 3985 9889,4.4,11,,,제조/도매/법인
CÔNG TY TNHH TM DV OTO TÂN HOÀN CẦU,parts,used_parts,Y,252 QL13,10.834601,106.7141771,+84 915 779 797,4.7,115,,,제조/도매/법인
"VỎ XE 79+ Phân phối Vỏ xe ô tô - Kích bình cứu hộ- Mâm lốp sơ cua VF3-VF9, lốp lướt, gạt mưa, cảm biến, android box.",parts,used_parts,Y,691 Đ. Phan Văn Trị,10.8274298,106.6875076,+84 981 676 879,4.7,122,,,자동차 업체
CÔNG TY TNHH TM-DV-XNK NHẬT QUÂN,parts,used_parts,Y,12 Bàu Cát 2,10.792368,106.6450698,+84 903 926 393,,,,,제조/도매/법인
AKauto,parts,used_parts,Y,678 Trường Chinh,10.805954,106.6353297,+84 903 939 683,4.6,341,,,자동차 업체
Bình ắc quy - Ac quy kho 12v,parts,used_parts,Y,"828 ( Số cũ 158 ) Cách Mạng Tháng Tám , Phường 5, Tân Bình",10.7888819,106.6611735,,4.8,12,TEMP_CLOSED,,제조/도매/법인
SƠN AUTO,parts,used_parts,Y,34/16 Đ. Hoàng Ngọc Phách,10.785227,106.626231,+84 962 332 444,5.0,2,,,자동차 업체
Trung Tín Auto - Phụ kiện xe hơi cao cấp tại quận tân phú,parts,used_parts,Y,103/1 Nguyễn Hữu Dật,10.8102695,106.6303902,+84 914 449 225,5.0,199,,,자동차 업체
Giặt nón bảo hiểm,gear,,Y,73 Vĩnh Viễn,10.764813,106.6727618,+84 886 600 935,5.0,365,PERM_CLOSED,,영구폐업
Công ty sản xuất mũ bảo hiểm Pluto,gear,,Y,78 Trần Não,10.7950924,106.7308124,+84 797 747 459,5.0,2,,,제조/도매/법인
Công Ty Tnhh Mũ Bảo Hiểm Hạnh Phúc Trọn Vẹn,gear,,Y,,10.7990279,106.7182054,,,,,,제조/도매/법인
"LS2 Store: Nón Bảo Hiểm LS2, Áo Mô Tô LS2, Găng tay, Đồ bảo hộ LS2 Helmets",gear,,Y,195A Lý Chính Thắng,10.7805423,106.6829108,+84 834 678 902,4.9,217,,,자동차 업체
Sản Xuất Mũ Bảo Hiểm Hồ Chí Minh - Công Ty Quang Vũ,gear,,Y,137 Bàn Cờ,10.7714629,106.6783457,+84 961 425 999,,,,,제조/도매/법인
Cty sản xuất nón bảo hiểm quảng cáo,gear,,Y,117 Đ. Thành Thái,10.7741281,106.6643682,+84 923 979 356,5.0,2,,,제조/도매/법인
Mũ bảo hiểm Andes - Đinh Tiên Hoàng,gear,,Y,112 Đinh Tiên Hoàng,10.7906434,106.6973869,+84 28 3820 1126,4.3,80,PERM_CLOSED,,영구폐업
Mũ bảo hiểm Protec Mạc Đĩnh Chi,gear,,Y,74 Mạc Đĩnh Chi,10.7876632,106.6964724,+84 28 6299 1404,4.5,39,PERM_CLOSED,,영구폐업
Cửa Hàng Mũ Bảo Hiểm và Sửa Mũ,gear,,Y,193 Điện Biên Phủ,10.7860864,106.6935564,,3.8,4,PERM_CLOSED,,영구폐업
Nón Bảo Hiểm 108,gear,,Y,108 Võ Thị Sáu,10.7882661,106.6921575,,3.5,4,PERM_CLOSED,,영구폐업
Cửa Hàng Bán Mũ Bảo Hiểm,gear,,Y,41 Lý Tự Trọng,10.7790272,106.702212,,2.0,3,PERM_CLOSED,,영구폐업
Bảo hiểm Bắt buộc xe Ô tô,gear,,Y,"2,3 128 Phan Đăng Lưu",10.8024609,106.695656,+84 926 024 999,5.0,1,,,자동차 업체
"LS2 Store: Mũ Bảo Hiểm LS2, Găng Tay, Áo Mô Tô LS2 Helmets",gear,,Y,Đ. Lý Thường Kiệt,10.7769597,106.6547479,+84 834 678 907,5.0,2,,,자동차 업체
Việt Nam Speed - Mũ bảo hiểm xe máy chính hãng,gear,,Y,239 Ngô Gia Tự,10.763353,106.671575,+84 913 860 253,1.0,1,PERM_CLOSED,,영구폐업
Xưởng Sản Xuất Nón Bảo Hiểm In Logo Giá Rẻ - KINOTA,gear,,Y,40D1 Lạc Long Quân,10.7612091,106.6406608,+84 962 538 818,5.0,1,,,제조/도매/법인
Đức Huy Nhà Sản Xuất Mũ Bảo Hiểm Chuyên Nghiệp,gear,,Y,,10.7650372,106.6468344,,,,,,제조/도매/법인
Công Ty TNHH Ánh Tốc,gear,,Y,299/30A Đ. Lê Quang Sung,10.7512592,106.6437067,+84 28 3969 9344,5.0,1,,,제조/도매/법인
"Sản Xuất Nón Bảo Hiểm, Mũ Bảo Hiểm Quảng Cáo HOAHAITHANH",gear,,Y,"X, 109/2/4 Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, H, 52",10.77541,106.6137,+84 908 262 536,4.2,5,,,제조/도매/법인
Xưởng cơ sở Sản xuất Mũ bảo hiểm quà tặng - Kim Ngọc Tài KINOTA,gear,,Y,Nguyễn Quý Yêm/109 Lạc Long Quân,10.7286227,106.6165584,+84 962 538 818,4.3,12,,,제조/도매/법인
Công ty Mũ Bảo Hiểm Camry,gear,,Y,24 Đường số 1B,10.7475678,106.6172517,+84 915 593 776,3.0,1,,,제조/도매/법인
Công ty 32 - Bộ Quốc phòng,gear,,Y,1113 Đ. Phan Văn Trị,10.8321236,106.6737403,+84 965 679 832,4.9,68,,,제조/도매/법인
Công Ty Sản Xuất Nón Bảo Hiểm BLUE SEA,gear,,Y,657 Tân Sơn,10.8343757,106.6449603,+84 902 912 239,4.4,53,,,제조/도매/법인
Công ty TNHH Sản xuất Nón bảo hiểm Đức Huy,gear,,Y,"114/143/7 Tô Ngọc Vân, P15",10.8568995,106.6738606,+84 911 951 059,4.5,2,,,제조/도매/법인
Công ty sản xuất mũ bảo hiểm Pluto,gear,,Y,10 Đ. 26,10.8327625,106.7290637,+84 797 747 456,,,,,제조/도매/법인
Xưởng Mũ Bảo Hiểm Donagift Helmet,gear,,Y,37A Lê Văn Huân,10.8038833,106.6397927,+84 938 203 411,5.0,4,,,제조/도매/법인
Thắng Lợi - Xưởng sản xuất nón bảo hiểm quảng cáo in logo theo yêu cầu,gear,,Y,120/7 Đ. Trần Thái Tông,10.8169344,106.63551,+84 909 201 144,4.8,26,,,제조/도매/법인
Công ty quà tặng doanh nghiệp SAGIFT,gear,,Y,63 Nguyễn Chánh Sắt,10.8058118,106.6450984,+84 962 107 378,4.7,12,,,제조/도매/법인
Xưởng Sản Xuất Nón Bảo Hiểm A-Helmet,gear,,Y,5/8 Tống Văn Hên,10.8210348,106.6312486,+84 909 022 999,5.0,8,,,제조/도매/법인
ZKar Auto - Garage phụ kiện ô tô gần đây,accessory,,Y,279 Đ. số 9A,10.7315479,106.6896752,+84 949 603 979,4.9,163,,,자동차 업체
ANH KHÔI AUTO - PHỤ KIỆN ĐỒ CHƠI Ô TÔ QUẬN 7,accessory,,Y,27/42 Nguyễn Thị Thập,10.7363953,106.7297158,+84 907 527 796,4.7,62,,,자동차 업체
PHỤ KIỆN TRANG TRÍ Ô TÔ PHÁT HUY,accessory,,Y,363 An Dương Vương,10.7590085,106.6785338,+84 909 657 879,4.2,22,,,자동차 업체
Phụ kiện - Đồ chơi xe ô tô,accessory,,Y,82 Lê Văn Lương,10.7499582,106.7049604,+84 938 823 327,,,,,자동차 업체
Ô tô Tuấn - phụ kiện nâng cấp xe hơi cao cấp,accessory,,Y,426 428 An Dương Vương,10.7589277,106.677137,+84 908 563 172,4.4,53,,,자동차 업체
Phụ kiện - Đồ chơi xe ô tô Hoàng Kim Phúc,accessory,,Y,82 Lê Văn Lương,10.7422843,106.703238,+84 938 823 327,,,,,자동차 업체
Phụ Kiện & Đồ chơi xe hơi,accessory,,Y,7 Đ. Thanh Loan,10.7390295,106.6689408,+84 909 227 925,4.8,4,,,자동차 업체
"Chuyên Phụ Kiện Xe Hơi, Phụ Kiện Máy Tính",accessory,,Y,28 Đường Quách Vũ,10.7738117,106.6313926,+84 906 928 776,5.0,2,,,자동차 업체
Phụ Kiện Đồ Chơi Xe Hơi Long Auto,accessory,,Y,Mizuki Park,10.7222109,106.6613902,+84 903 083 576,4.5,13,,,자동차 업체
Đồ chơi xe hơi 4x4.vn,accessory,,Y,11 Đường Số 14,10.7125716,106.6869219,+84 939 791 959,4.4,26,,,자동차 업체
GEM Auto - Phụ Kiện Ô Tô - Độ Xe Sài Gòn,accessory,,Y,19 Thích Mật Thể,10.7740023,106.7631747,+84 909 000 192,4.9,20,,,자동차 업체
Mạnh Quân Auto Gò Vấp - Phụ Kiện Đồ Chơi Cho Ô Tô,accessory,,Y,139 A Đ. Lê Đức Thọ,10.835542,106.6811903,+84 965 789 779,4.8,195,,,자동차 업체
TRUNG TÂM CHĂM SÓC VÀ PHỤ KIỆN Ô TÔ LÊ NGUYỄN AUTO,accessory,,Y,Đường Lương Định Của,10.7904339,106.7408886,+84 947 957 988,4.6,62,,,자동차 업체
Fast Auto,accessory,,Y,334 Đỗ Pháp Thuận,10.794803,106.7414689,+84 934 283 879,4.5,51,,,자동차 업체
Cường Nga Ô Tô,accessory,,Y,Nguyễn Hoàng,10.7941131,106.7452451,+84 903 330 937,4.9,30,,,자동차 업체
AUTO DEPOT BÌNH TRƯNG HCM,accessory,,Y,121 Đường số 52,10.7847362,106.7511455,+84 909 625 289,5.0,19,,,자동차 업체
SaDoCo Auto WorkShop,accessory,,Y,17 Đường Số 27,10.793185,106.7297322,+84 917 106 869,5.0,117,,,자동차 업체
Đồ chơi xe hơi 24h,accessory,,Y,51 Đ. Thành Thái,10.7724714,106.6648309,+84 932 775 239,5.0,3,,,자동차 업체
Bọc ghế da ôtô Tuấn Anh,accessory,,Y,529 An Dương Vương,10.7575722,106.6747617,+84 903 307 637,4.6,41,,,자동차 업체
ĐỘ PÔ XE HƠI MARCO TUNING,accessory,,Y,13A Trần Phú,10.7633663,106.6798901,+84 906 743 293,4.3,14,,,자동차 업체
Shop Độ Đèn LED Xe Máy - Ô Tô,accessory,,Y,68/26 Đ. Đồng Nai,10.7793228,106.6636027,+84 902 361 418,4.4,54,,,자동차 업체
Trung Tâm Trang Trí Ô Tô Cường Dung,accessory,,Y,405 An Dương Vương,10.7584753,106.6772293,+84 945 238 638,3.9,152,,,자동차 업체
AKALA - Phụ Kiện Xe Hơi Thông Minh,accessory,,Y,283 Hẻm 285 Cách Mạng Tháng Tám,10.7751241,106.6765534,+84 888 777 555,5.0,3,,,자동차 업체
AKauto - Trung tâm chăm sóc & phụ kiện ô tô cao cấp,accessory,,Y,36 Nguyễn Hữu Cảnh,10.788852,106.715083,+84 903 939 683,4.9,119,,,자동차 업체
True Moto Care Hoàng Phương - Cửa hàng sửa xe (NanoAuto) - chi nhánh 3/2,accessory,,Y,1201 3 Tháng 2,10.7598283,106.6528571,+84 355 585 261,4.9,397,,,자동차 업체
ProAuto - Quận 11,accessory,,Y,1513 3 Tháng 2,10.7559281,106.6458365,+84 901 800 001,4.9,262,,,자동차 업체
Chương Auto - Phụ Kiện Đồ Chơi Xe Hơi,accessory,,Y,57/17 Đ. Tô Hiệu,10.7698294,106.6262919,+84 966 176 496,4.6,25,,,자동차 업체
"Xưởng sản xuất yên xe máy, yên kiểu, yên độ, áo yên xe máy, phụ kiện yên xe máy - Phú Quang Group",accessory,,Y,75B Đ. Miếu Bình Đông,10.778626,106.6173177,+84 974 901 144,5.0,1,,,제조/도매/법인
